Year,Month,Plot,Block,Trt,Base_grass,Mass.loss,BR,SIR,NO3,aeMinN,Rye.per,TF.per,PG.per,Tim.per,WC.per,RC.per,Luc.per,Chi.per,Plan.per,Tot.Growth.Rate,Root_kg_DM_ha_top_0.1m,Root_kg_DM_ha_top_0.6m,Hawksbeard.per.tot,Dandelion.per.tot,Broadleaved.dock.per.tot,Musky.storksbill.per.tot,Chickweed.per.tot,ann.mouse.ear.chickweed.per.tot,poa.annua.per,Feve,Fdiv,Fric,CWM.LDMC,CWM.LeafThick,CWM.TN,CWM.X13C
2014,April,1,1,RGHB,Rye,69.59459459,0.747187014,20.18707168,64.61088747,2.062830986,42.8711416,0,0,0,0,0,0,3.11121999,11.61195492,2.624671699,2791.880375,4777.641473,0,5.475257227,0,7.300342969,0,0,0,0.750556064,0.929117814,1.924308454,158.002245,0.218615701,32.10432783,-30.68090763
2014,April,3,1,RGLA,Rye,76,1.587516874,14.8212757,35.88011824,2.125183756,59.87819732,0,0,0,0.12180268,0,0,0,0,2.586124789,3081.199175,5020.385077,0,7.954933009,0,4.545676005,0,0,0,0.457651195,0.931776353,2.717132214,170.3427578,0.189120147,31.19439976,-30.87393095
2014,April,6,1,TFGR,TF,48.61111111,1.854584983,11.92270027,63.16952251,1.769524215,3.06923626,60.65310493,0.053533191,0,0.035688794,0,0,0,0,4.096215464,1652.3669,2505.32451,0.517130621,6.64882227,0,0,0,0,0,0.417979034,0.244068842,3.276091408,187.6392443,0.25581479,31.00398807,-29.34997555
2014,April,7,1,TFCO,TF,44.89795918,2.163831138,22.2984126,45.87708766,2.791733657,11.27873563,36.15301724,0,0.448994253,0.269396552,0,0,7.094109195,2.478448276,4.314811416,2471.248307,3904.948611,0,5.026939655,0,0,0,0,0,0.575651278,0.428945602,3.681253792,171.4566566,0.241358892,31.72796323,-29.66352756
2014,April,8,1,TFHB,TF,61.80555556,1.508399172,18.37906245,44.44150752,2.344451729,17.22736509,39.7004591,0,0,0.338676902,0,0,8.338977948,1.317076842,5.695936568,2693.730386,3834.822681,0,0,0,0,0.144878453,0,0,0.626687006,0.289619186,4.056202699,176.1307172,0.235322995,31.52904387,-29.80520236
2014,April,9,1,TFST,TF,36.73469388,1.49758791,18.15437076,44.85289213,1.270193602,15.30072703,38.25181758,0,0,1.569729015,0,0,0.793126239,0,4.111657508,4012.834657,5611.916376,0,5.776602776,0,0,0,0,0,0.506747426,0.499501359,2.717132214,181.9280394,0.235010005,31.47370602,-29.73132593
2014,April,10,1,RGLB,Rye,37.58389262,1.758545583,8.147207497,71.38888381,2.271649285,45.20433695,0,0,0,0.417014178,0,3.085904921,0,0,6.170549234,4356.096481,5932.680012,0,4.804003336,0,0,0,0,0,0.574258784,0.994374636,5.106240889,173.4645517,0.179840056,32.34814138,-30.90226219
2014,April,13,1,RGCO,Rye,51.33333333,1.647890085,9.279610341,16.42360389,2.516742563,29.04044985,0,0.308362053,0.67114094,0.761835661,0.435334664,5.278432795,16.28877199,34.06493742,5.163206741,3082.120154,3894.423143,0,0,0,0,0,0,0,0.332673464,0.987537238,5.941838291,136.7939037,0.245028814,34.51366515,-30.40854219
2014,April,14,1,TFLA,TF,35.5704698,2.012358358,5.112727195,67.96655645,3.649879229,36.39774859,25.42213884,2.664165103,0,2.77673546,0,0,0,0,5.886692719,2892.66173,3695.097094,2.303939962,0,0,0,0,0,0,0.796329996,0.629166601,3.276091408,181.9434578,0.209713597,31.24158409,-30.29934912
2014,April,15,2,RGST,Rye,42.95302013,1.559857863,16.02549523,60.25288592,2.782716569,46.37177847,0,0,0,0.237616523,0,0,0,0,3.114599084,1797.092085,2368.098721,0,2.034363005,0,0,0,0,0,0.098276462,0.987235331,2.717132214,172.3260703,0.18108255,30.58521576,-31.09602493
